id,_subServiceId,label,value
232,70,2,Reflection coefficient in waveguide (values in linear terms)
241,71,5,"Directivity, effective source match"
1025,71,8,Reflection coefficient (Sii) in planar line systems
242,71,6,Reflection coefficient for common mode systems
237,71,1,Reflection coefficient in coaxial line (real and imaginary)
238,71,2,Reflection coefficient in waveguide (real and imaginary)
1024,71,9,Transmission coefficient (Sij) in planar line systems
243,71,7,Transmission coefficient for common mode systems
239,71,3,Transmission coefficient in coaxial line (real and imaginary)
240,71,4,Transmission coefficient in waveguide (real and imaginary)
246,72,3,Amplifier noise parameters
244,72,1,Noise temperature or excess noise ratio in coaxial line
245,72,2,Noise temperature or excess noise ratio in waveguide
247,72,4,Phase noise
248,72,5,"Radio brightness temperature, spectral radiance in free space"
249,73,1,Antenna factor
250,73,2,Antenna gain
251,73,3,"Other properties (pattern, beam width, …)"
255,74,4,Distorsion and harmonic content
254,74,3,"Modulation, AM and FM"
252,74,1,Pulse amplitude
253,74,2,Pulse time parameters
264,75,9,Flatness of RF voltage meters
263,75,8,Flatness of RF voltage sources
262,75,7,RF coupling factor
259,75,4,RF current
260,75,5,RF transfer impedance
261,75,6,RF voltage division factor
258,75,3,RF voltage meters
257,75,2,RF voltage sources
256,75,1,RF-DC difference
267,76,3,Capacitance
266,76,2,Inductance
268,76,4,Quality factor
265,76,1,Resistance or conductance
270,77,2,Electrical parameters
269,77,1,Mechanical dimensions
271,78,1,"(Laser, length) interferometer (system, optics, refractometer)"
277,78,7,Dial-indicator tester
272,78,2,EDM instrument
276,78,6,Gauge block comparators
274,78,4,Height measuring instrument
275,78,5,"One-dimension displacement transducer or actuator (LVDT, PZT, etc.)"
273,78,3,One-dimension measuring machine
283,79,6,Feeler (thickness) gauge
282,79,5,Gap gauge
278,79,1,Gauge block
279,79,2,Length bar (long gauge block)
280,79,3,Plane or thread micrometer setting rod
281,79,4,Step gauge
290,80,7,"(Surveyor, engineer, pi) tape, (geodetic) wire"
292,80,9,"Engineer or machinist scale, steel"
286,80,3,Grid plate
289,80,6,Linewidth standard
287,80,4,One-dimension grating
284,80,1,Precision line scale
285,80,2,Stage micrometer
291,80,8,Surveyor levelling rod
288,80,5,Two-dimension grating
293,81,1,"External cylinder (plug, piston, pin, wire)"
294,81,2,Internal cylinder (ring)
295,81,3,Sphere (ball)
297,82,2,Index table
296,82,1,Optical polygon
298,82,3,"Rotary table, rotary encoder scale"
299,83,1,Sine bar or table
305,84,6,(Bevel) protractor
1090,84,8,Angular interferometer
300,84,1,Autocollimator
302,84,3,Clinometer
301,84,2,Electronic level
303,84,4,Spirit (bubble) level
306,84,7,Squareness tester
304,84,5,Theodolite
308,85,2,"90° (steel, granite, try) square"
309,85,3,90° cylinder square
307,85,1,Angle block
310,85,4,Cone (taper) gauge
311,86,1,Optical square (pentaprism)
312,86,2,"Retroreflection (cube-corner, cat-eye) prism"
313,87,1,Optical flat
314,87,2,Optical parallel or wedge
315,87,3,Surface plate
316,88,1,External cylinder
317,88,2,Internal cylinder
319,88,4,Magnification standard (e.g. flick standard)
318,88,3,Sphere (hemisphere)
321,89,2,Cylindrical straightness standard
320,89,1,Straight edge
322,89,3,Straightness of guideway
323,90,1,External cylinder
324,90,2,Internal cylinder
325,91,1,"Lens, radius standards"
326,92,1,(Groove) depth (step height) standard
330,92,5,Profile coordinate standard
329,92,4,Roughness standard
331,92,6,Soft gauge standard
328,92,3,Spacing standard
327,92,2,Tip-condition standard
337,93,6,External API screw thread gauge
336,93,5,Internal API screw thread gauge
332,93,1,"Thread plug, plain"
333,93,2,"Thread plug, tapered"
334,93,3,"Thread ring, plain"
335,93,4,"Thread ring, tapered"
339,94,2,Bevel gear
342,94,5,Gear involute master
341,94,4,Gear lead master
340,94,3,Gear pitch master
338,94,1,Involute gear
343,95,1,"Ball (hole, bore) plate"
344,95,2,Ball bar
345,95,3,Large CMM artefact
346,95,4,Reference software
347,95,5,Test circle for imaging probing systems
354,96,7,"(Flatness, wavefront) interferometer"
350,96,3,CMM
355,96,8,Form measuring machine
351,96,4,Laser tracking measuring system
349,96,2,Measuring microscope
348,96,1,Measuring projector
352,96,5,"Motion (translation, angle) stage"
353,96,6,Profile instruments
356,97,1,"Hardness indenter (Rockwell, Vickers)"
360,98,4,Caliper
361,98,5,Depth gauge
359,98,3,Depth micrometer
364,98,8,Dial gauge
357,98,1,External micrometer
363,98,7,Internal three-point (bore) micrometer
362,98,6,Internal two-point (bore) micrometer
358,98,2,Micrometer head
365,98,9,"Snap gauge (internal, external)"
366,99,1,Piston - cylinder assembly
367,100,1,Thermal expansion artefact
368,101,1,Geodesic baseline
370,102,2,Sieve or mesh opening
369,102,1,Standard particle
371,103,1,Layer thickness standard
374,105,1,Frequency stabilized laser
375,106,1,Spectral lamp
376,107,1,Density of solid
377,107,2,Volume of solid
378,108,1,Density measuring device
379,108,2,Density of liquid
380,109,3,Refractive index of liquid
384,110,4,Flow speed
382,110,2,Gas flow
386,110,6,Heat flow
381,110,1,Liquid flow
385,110,5,Multiphase flow
383,110,3,Quantity of fluid
387,111,1,Tension
388,112,1,Compression
389,113,1,Tension and compression
390,114,1,Mass standard
391,115,1,Gas medium
392,115,2,Liquid medium
393,116,1,Gas medium
394,116,2,Liquid medium
395,117,1,Gas medium
396,117,2,Liquid medium
397,118,1,Gas medium
398,118,2,Liquid medium
399,119,1,Torque
400,120,1,Certified Newtonian reference liquids
401,121,1,Capillary viscometers
402,122,1,Viscosity measurement of Newtonian liquids
403,123,1,Hardness
404,124,1,Gravity
405,125,1,Broad band detector
406,126,0,UV radiometer
407,127,0,Solar spectroradiometer
408,128,2,Broad band detector
409,128,3,Spectroradiometer
410,129,0,Spectroradiometer
411,130,0,General detector
412,131,0,General detector
413,132,0,General detector
415,133,1,Broadband detector
414,133,0,General detector
416,134,0,Broadband detector
417,135,0,UV radiometer
419,136,2,Deuterium lamp
418,136,1,Tungsten lamp
421,137,2,Deuterium lamp
422,137,3,General source
420,137,1,Tungsten lamp
423,138,1,Laser
425,139,2,Deuterium lamp
424,139,1,Tungsten lamp
426,140,0,General source
427,140,1,Tungsten lamp
428,141,0,Tungsten lamp
429,142,1,Tungsten lamp
430,143,0,Colour temperature meter
434,144,3,"Display, colour space: L*a*b"
433,144,2,"General source, colour space: u-prime, v-prime"
432,144,1,"General source, colour space: u, v"
431,144,0,"General source, colour space: x, y"
435,145,0,Colorimeter
436,146,0,General source
437,147,0,Blackbody
438,148,0,General source
439,148,1,LED
440,149,0,Fibre optic power meter
1037,150,2,"Distance scale deviation, OTDR"
441,150,0,"Length, optical fibre"
442,150,1,"Location offset, OTDR"
445,152,0,Fibre optic source
446,152,1,Optical spectrum analyser
447,152,2,Wavelength meter
1038,152,3,Wavelength standard
1042,153,2,"Loss, measuring instrument"
449,153,1,"Loss, optical fibre component"
448,153,0,"Spectral attenuation, optical fibre"
1036,154,5,"Dispersion slope, measuring instrument"
452,154,2,"Dispersion slope, optical fibre"
1034,154,3,"Dispersion, measuring instrument"
450,154,0,"Dispersion, optical fibre"
1035,154,4,"Zero dispersion wavelength, measuring instrument"
451,154,1,"Zero dispersion wavelength, optical fibre"
453,155,1,Spectrally-neutral material
454,156,0,General material
455,157,0,General material
456,158,0,General material
458,159,1,Fluorescent material
457,159,0,General material
459,160,0,Fluorescent material
461,161,1,Spectrally-selective reflecting material
460,161,0,Spectrally-selective transmitting material
462,162,0,Solid material
464,163,1,Liquid material
463,163,0,Solid material
465,164,0,General material
466,165,1,Spectrally-neutral material
467,166,1,Spectrally-neutral material
468,167,1,Spectrally-neutral material
469,168,1,Spectrally-neutral material
470,169,1,Spectrally-neutral material
471,170,1,Spectrally-neutral material
472,171,0,General material
475,172,2,Diffusely reflecting material
474,172,1,Fluorescent material
473,172,0,General material
476,173,0,General material
477,174,0,General material
480,175,2,Diffusely reflecting material
479,175,1,Fluorescent material
478,175,0,General material
481,176,0,General material
482,177,0,General material
483,178,0,General material
484,179,0,General material
485,180,0,General material
486,181,0,General material
487,182,1,Tungsten lamp
488,183,1,Tungsten source
490,184,2,LED
489,184,1,Tungsten lamp
491,185,1,Tungsten lamp
492,186,1,Tungsten-based source
493,187,0,Luminance meter
494,188,1,LED
496,189,1,Flash photometer
495,189,0,General source
497,190,1,Dew-point hygrometers
498,191,1,Psychrometers
499,192,1,Relative humidity sensors
500,193,1,Other hygrometers
501,194,1,Dew-point generators
502,195,1,Relative humidity generators
503,196,1,Flow mixing
504,197,1,"Permeation tube, diffusion tube"
505,198,1,"Salt solutions (saturated, unsaturated)"
506,199,1,Reference gases
507,200,1,Cells for contact thermometry
508,200,2,Cells for radiation thermometry
509,201,1,Apparatus for contact thermometry
510,201,2,Apparatus for radiation thermometry
511,202,1,Capsule-type SPRTs
512,202,2,Long-stem SPRTs including HTSPRTs
513,203,1,Standard radiation thermometers
514,204,1,Secondary fixed-points and apparatus for contact thermometry
516,205,2,Platinum resistance thermometers (PRTs)
515,205,1,Rhodium-iron resistance thermometers
517,205,3,Thermistors and other resistive thermometers
519,206,2,Base-metal thermocouples
518,206,1,Noble-metal thermocouples
520,206,3,Pure-metal thermocouples
521,207,1,Liquid-in-glass thermometers
525,208,4,Radiation thermometers and visual optical pyrometers
522,208,1,Secondary fixed-point blackbody cells and apparatus
524,208,3,Strip lamps
523,208,2,Variable temperature blackbody radiation sources
526,209,1,Air temperature sensors
527,209,2,Other thermometers
528,210,1,Temperature sensors with display unit
529,211,1,Bridge linearity
530,211,2,Compensation wires for cold junction
534,211,6,Dry-well block calibrators
533,211,5,Phase-transition temperature of reference materials
532,211,4,Temperature indicators
531,211,3,Wires for melting-point measurements for thermocouples
535,212,1,Thermal conductivity
536,212,2,Thermal diffusivity
539,213,3,Calorific value
538,213,2,Heat of fusion
537,213,1,Specific heat capacity
540,214,1,Spectral emissivity
541,214,2,Total emissivity
542,215,1,Thermal expansion coefficient
543,216,1,Local frequency standard
544,216,2,Remote frequency standard
545,217,1,General frequency source
546,218,1,Frequency counter
547,218,2,Frequency meter
548,219,1,Period source
552,220,4,Delay source
550,220,2,Pulse width source
549,220,1,Rise - fall time source
551,220,3,Time difference source
553,221,1,Period meter
557,222,4,Delay meter
555,222,2,Pulse width meter
554,222,1,Rise - fall time meter
556,222,3,Time difference meter
559,223,2,Local clock vs. UTC
558,223,1,Local clock vs. UTC(NMI)
1092,224,4,Broadcast prediction of UTC by GNSS (bUTCGNSS) vs UTC
1091,224,3,Broadcast prediction of UTC by GNSS (bUTCGNSS) vs UTC(NMI)
561,224,2,Remote clock vs. UTC
560,224,1,Remote clock vs. UTC(NMI)
1026,256,1,Standard of 1D point-to-point dimensions 
1027,257,0,"Encircled flux, fibre optic source or fibre"
1028,257,1,"Encircled flux, measuring instrument"
1029,257,2,"Mode field diameter (MFD), optical fibre"
1030,257,3,"Numerical aperture, optical fibre"
1033,258,2,Artefact
1032,258,1,Measuring instrument
1031,258,0,Optical fibre
1039,259,1,Fixed-point blackbody cells and apparatus
1040,259,2,Radiation thermometers
1041,259,3,Variable temperature blackbody radiation sources
1043,260,1,Broadband detector
1044,261,1,Modulus
1045,261,2,Phase
1046,262,1,Modulus
1047,263,1,Modulus
1048,264,1,Modulus
1049,265,1,Modulus
1050,265,2,Phase
1051,266,1,Modulus
1052,267,1,Modulus
1053,267,2,Phase
1054,268,1,Modulus
1055,269,1,Modulus
1056,269,2,Phase
1057,270,1,Modulus
1058,271,1,Modulus
1059,272,1,Modulus
1060,273,1,Modulus
1061,273,2,Phase
1062,274,1,Modulus
1063,274,2,Phase
1064,275,1,Modulus
1065,275,2,Phase
1066,276,1,Modulus
1067,276,2,Phase
1068,277,1,Modulus
1069,278,1,Modulus
1070,278,2,Phase
1071,279,1,Modulus
1072,280,1,Modulus
1073,280,2,Phase
1074,281,1,Modulus
1075,282,1,Modulus
1076,282,2,Phase
1077,283,1,Modulus
1078,283,2,Phase
1079,284,1,Modulus
1080,284,2,Phase
1081,285,1,Modulus
1082,286,1,Modulus
1083,287,1,Modulus
1084,288,1,Modulus
1085,289,1,Modulus
1086,290,1,Modulus
1087,290,2,Phase
1088,291,1,Modulus
1089,292,1,Modulus
1093,293,1,DC power meters and sources
